등뼈,문재2길 21 (방어동)
조은날,방어진순환도로 937 (서부동)
고집센 그집 갈비탕,대학길 133 (화정동)
5월애쌈밥,진성7길 15 (일산동)
맛있는포차,꽃바위로 259 (방어동)
속초순대국,명덕4길 10 (서부동)
굽네치킨(일산점),대학길 162 (화정동)
윤떡대장분식,번덕8길 123 (일산동)
연탄길,"화진4길 51-13, 지상1층 (방어동)"
피자토비,월봉6길 52 (방어동)
무진장왕뽈때기동구점,학문로 95 (화정동)
꽃바위한우마당,화문로 52 (방어동)
굴사랑&가야밀면,등대로 9 (일산동)
남도홍어,방어진순환도로 849-1 (전하동)
충무김밥,"꽃바위5길 52, 105호 (방어동, 장보아이빌)"
토심방,옥류로 74-1 (동부동)
동진식육식당,동진로 29 (방어동)
일일삼,"명덕4길 10 (서부동,(4층))"
동대구막창,해수욕장2길 5 (일산동)
불새진짜갈비 무한리필,해수욕장길 5 (일산동)
바이트 미 피자,"해수욕장10길 34 (일산동,3층)"
울기객잔,번덕8길 3 (일산동)
뒷고기본부,문재2길 21 (방어동)
송가네,미포3길 25 (동부동)
어얼리 도어,꽃바위로 207 (방어동)
다르네 밥상,내진길 43 (방어동)
전원삼겹,대송9길 18 (화정동)
삼겹살에소주한잔,전하로 21 (전하동)
꿀꿀이 숯불갈비,월봉로 19 (화정동)
용감한갈비,꽃바위4길 68 (방어동)
가마솥,화잠5길 66 (방어동)
제주남도,미포2길 17 (동부동)
시골손맛 봉평메밀,미포5길 7 (동부동)
뉴경북횟집,중진길 37 (방어동)
네모치킨,대송1길 51 (화정동)
탑,"해수욕장길 20 (일산동,2층)"
김밥천국(꽃바위점),꽃바위5길 55 (방어동)
서대포 소금구이,미포1길 11 (동부동)
우리김밥,"남목18길 8, 남목시티프라자 1층 145호 (동부동)"
춘천7.9닭갈비,꽃바위로 253 (방어동)
어클락,미포5길 15 (동부동)
죽 한그릇,대학길 33 (화정동)
본죽앤비빔밥남목점,방어진순환도로 1120 (서부동)
핵밥울산동구점,내진1길 5 (방어동)
맘스터치울산전하점,"전하로 33, 한라한빛상가104동 105호 (전하동)"
할매소머리국밥,꽃바위로 236-1 (방어동)
컨테이너 비어,해수욕장길 17 (일산동)
아구명가,미포5길 15 (동부동)
우리분식,월봉10길 57 (화정동)
오리궁뎅이,"동해안로 600, 2층 (주전동)"
시골여행,옥류3길 6 (서부동)
주전식육식당,"동해안로 686 (주전동,B,C동)"
