도울목,전하로 48 (전하동)
청춘포차,진성3길 13 (전하동)
하남돼지집 일산점,일산진5길 6 (일산동)
전하순두부보쌈,방어진순환도로 829 (전하동)
낙지마당,진성8길 6 (일산동)
완도포차,진성3길 38 (전하동)
다미분식,화정8길 29 (화정동)
청운정갈비,학문로 26 (일산동)
네네치킨,미포4길 38 (동부동)
세숫대야 냉면,대학길 29 (화정동)
충무대구탕,꽃바위4길 57 (방어동)
헌우씨콩나물불고기,대학길 116 (화정동)
함지박 해물 아구찜,양지2길 41 (화정동)
태화곱순이,"미포2길 28, 1층 (동부동)"
피자빙고,"꽃바위5길 52, 105호 (방어동, 장보아이빌)"
부엌에사는남자,명덕2길 4 (서부동)
별미마당,대송7길 46 (화정동)
미운오리,옥류1길 10 (서부동)
옛날돼지국밥,미포1길 46-35 (동부동)
김밥천국(대송점),대송로 60 (화정동)
경숙이네 밥집,번덕로 32-1 (일산동)
바다밥상,등대로 31 (일산동)
치킨누리,"진성3길 14, 상가동 107호 (전하동,해븐하늘빛)"
신불떡복이,미포1길 51 (동부동)
별밤,진성9길 37 (전하동)
취향저격,화문로 67 (방어동)
그랑나 레스토랑,학문로 34 (일산동)
울타리 없는 만두,전하로 4 (전하동)
옛날국밥,진성5길 24 (전하동)
호식이두마리치킨방어점,"문재7길 25 (방어동, 1136-3)"
림스치킨전하점,"진성3길 14, 1층 102호 (전하동, 해븐하늘빛)"
엠케이비어하우스,문재2길 18 (방어동)
금광루,"명덕3길 40 (서부동,새운상가103호)"
영미정,미포4길 10 (동부동)
또와바,미포4길 14 (동부동)
마라향원,"진성3길 46 (전하동, 634-5)"
석원족발 전하점,"전하로 16, 1층 (전하동)"
피자빙고,동해안로 50 (동부동)
못된돼지,"진성2길 16, 1층 (전하동)"
월래껄루,"녹수길 23 (전하동,모든하이빌 101호)"
골목뒷고기,"옥류2길 17 (서부동,동양연립주택 103호)"
풍천장어고을,진성8길 22 (전하동)
요거프레소(울산남목점),옥류로 40 (동부동)
간이역,월봉로 24 (화정동)
가람정숯불갈비,화정7길 58 (화정동)
주전마을,미포1길 27 (동부동)
삼백년누룽지백숙,문재1길 32 (방어동)
왕서방,녹수8길 8 (전하동)
조개명당,해수욕장10길 14 (일산동)
선계찜닭세상,진성5길 22 (전하동)
"명성,탕,구이","바드래2길 3 (전하동, 300-13)"
다정원,화잠5길 10 (방어동)
아웃닭,대학길 165 (일산동)
올나잇,"해수욕장길 25 (일산동, 955-3)"
황금코다리,해수욕장1길 23 (일산동)
강남활어회센타,해수욕장10길 10 (일산동)
인쌩맥주 울산동구1호점,대학길 180 (화정동)
죽이야기 울산서부점,"방어진순환도로 909 (서부동,3호)"
양선생,"진성8길 135 (전하동, 626-8)"
퍼주는 식당,진성11길 53 (전하동)
킹카바,방어진순환도로 454 (방어동)
김영희강남동태찜,"진성10길 137, 101동 B102호 (전하동, 대성휴원아파트상가)"
옛날국밥,"미포1길 13 (동부동, 194-26)"
다온,"진성10길 145, 1층 (전하동)"
대가야돈불,화진길 34 (방어동)
엄나무돼지국밥,명덕5길 30 (서부동)
프렌즈,화문로 34 (방어동)
소가네국밥,대송로 11 (일산동)
믹스팩토리,남진길 42 (방어동)
산골식당,대송9길 24 (화정동)
송가네(다박솔),명덕5길 36 (서부동)
폭스,"번덕8길 26 (일산동, 579-46)"
부광,"진성10길 72, 지상1층 (전하동)"
이너피스,주전해안길 2 (주전동)
매드후라이치킨,"명덕4길 10 (서부동, 113-42 지상1층)"
간이역(방어점),"내진길 66 (방어동, 394-2)"
모듬촌닭,미포4길 13 (동부동)
하동식당,동해안로 30-7 (동부동)
초원 경양식,방어진순환도로 807 (전하동)
돈돼지구이전문점,미포1길 46-8 (동부동)
이모구이,전하로 24-1 (전하동)
화정치킨,월봉11길 65 (화정동)
참한우촌돼지식육식당,"명덕3길 40 (서부동,새운상가 117호,118호)"
춘자횟집,화잠로 99-1 (방어동)
싱싱조개구이,미포1길 23 (동부동)
굽네치킨 서부전하점,"봉수로 290, B동 201,202호 (전하동, e편한세상 전하)"
가야정,명덕5길 11 (서부동)
체리호프,중진길 14 (방어동)
꼬꼬랑 강정,진성6길 43 (전하동)
정겨운돌담,명덕6길 17 (서부동)
호식이 두마리 치킨,양지6길 18 (화정동)
김영희동태찜,"진성1길 19, 101동 B101호 (전하동, 625-2 대성휴원아파트상가)"
꽃돼지,월봉7길 32 (화정동)
전하바다,"진성10길 137, 상가동 B103호 (전하동, 대성휴원아파트)"
통영생아구찜,내진길 25 (방어동)
미사리Live,"해수욕장길 6, 지상2층 (화정동)"
조마루뼈다귀,방어진순환도로 624 (일산동)
큰나무,"내진1길 19 (방어동,,13)"
현대참한우식육식당,월봉5길 37 (방어동)
마이 묵고 가이소,"대송1길 39 (화정동,(1층))"
고집통 대송점,대송9길 14 (화정동)
진배기 원조할매국밥,문현로 107 (방어동)
대장금,학문로 8-1 (일산동)
굽네치킨(남목점),"미포3길 35, 1층 (동부동)"
이국술,문재5길 21 (방어동)
황금석고기타운,보성길 5 (일산동)
울산보리밥,동진4길 48-3 (방어동)
함경도 아바이냉면,양지5길 70 (화정동)
황금돼지갈비,해수욕장3길 19 (일산동)
준(Jun),"대학길 124, 2층 (화정동)"
미락고을,번덕로 13 (일산동)
춘천숯불닭갈비,진성8길 136 (전하동)
김쉐프,꽃바위로 271-1 (방어동)
명카페,"방어진순환도로 931-1 (서부동, 181-44 지상1층)"
희망88춘천닭갈비,진성14길 122 (전하동)
내고향가정식뷔페,"해수욕장1길 37, 1,2층 (일산동)"
돼지장터숯불촌,대송9길 17 (화정동)
꽃바위약수삼계탕,"화잠5길 56, 1층 (방어동)"
장가네불닭발,대학길 180 (화정동)
해운대31cm해물칼국수,일산진4길 11 (일산동)
비비큐(화정점),"학문로 47 (화정동,(1층))"
송가네해물천지,바드래5길 22 (전하동)
순두부패밀리,일산진6길 7 (일산동)
고기와국수이야기,해수욕장5길 8 (일산동)
육회포차,옥류2길 3 (서부동)
초량불백,미포2길 7 (동부동)
방어꽃바위점 굽네치킨,"화문로 41 (방어동, 1151-14)"
금사,"해수욕장길 4 (화정동,(4층))"
홍궈,미포1길 28 (동부동)
풍성가,방어진순환도로 669 (일산동)
댕기머리,번덕8길 117 (일산동)
도원,고늘로 6 (일산동)
거인치킨,"대학길 119 (화정동,(1층))"
고두부,"일산진5길 8, B동 (일산동)"
언니네밥.전집,내진길 5 (방어동)
초당 밀면 칼국수 전문점,"대송11길 4 (화정동,(1층))"
찜닭대장 울산동구점,월봉로 18 (화정동)
정동진식당,"명덕3길 22-1 (서부동,(지상1층))"
생선구이 생생,"일산진6길 8 (일산동,(지상1층))"
대구막창삼겹살,전하로 22 (전하동)
손이가네대구막창,미포2길 10 (동부동)
사도시,"문재3길 14 (방어동,청운스카이빌 B동 101호)"
고기명가오늘,화암4길 30 (방어동)
강릉식당,진성10길 64 (전하동)
꼬들목살,진성12길 150 (전하동)
처갓집양념치킨(남목점),미포2길 50 (동부동)
한신포차 울산일산점,해수욕장길 21 (일산동)
역전할머니맥주(일산점),대학길 179 (일산동)
황금분식,"봉수로 314, C동 106호 (전하동,전하황금시장형상가)"
작천정 민물매운탕,"화진2길 28 (방어동,(1층))"
왕대박이네,화진길 34 (방어동)
크루,"꽃바위로 187 (방어동, 1043-6 지상1층)"
꽃바위등대갈비,꽃바위3길 69 (방어동)
지당목,"화정8길 22, 1층 (화정동)"
장터한우소머리특곰탕,"월봉로 55, 1층 (화정동)"
일품,"남진길 65 (방어동,지상1층)"
성대식당,꽃바위로 262 (방어동)
한마음식당,화진길 42 (방어동)
더차이나,"미포4길 34 (동부동,(지상1층))"
카페레드빈,상진2길 53 (방어동)
생생돈까스(동구1호점),월봉1길 31 (방어동)
하얼빈 양꼬치,"미포1길 50 (동부동,(지상1층))"
사도원민속마당,"옥류3길 4-1 (서부동,(지상1층))"
꽃돼지국밥,명덕5길 38 (서부동)
EXR식당,"방어진순환도로 637 (일산동,(8층))"
일산양꼬치&꼬치훠궈,"해수욕장길 6 (화정동,지상1층)"
다경식당,"방어진순환도로 849 (전하동, 311-3)"
찌지고뽁고꿉고,"대송5길 1 (화정동,지상1층)"
조은집,중진길 48 (방어동)
잘돼지왕뚜껑쭈꾸미,"미포3길 8 (동부동,(지상1층))"
한마음정육식당,"명덕3길 3 (서부동,(지상1층))"
시골집,대송로 5-1 (일산동)
예쁜고래,해수욕장7길 12 (일산동)
투존치킨,"명덕5길 31 (서부동,지상1층)"
옹심이 칼국수,해수욕장6길 9 (일산동)
화로양연 동구점,"대송로 17-1 (일산동,(1층))"
가지돌회조개구이,꽃바위로 200 (방어동)
대경포차,화잠2길 11 (방어동)
국민진갈비,"등대로 45 (일산동,외 1필지)"
최복희소갈비찜,해수욕장7길 12 (일산동)
식당153,"해수욕장10길 18, 2층 202호 (일산동)"
황기삼겹살,"대학길 145 (일산동,(1층))"
저팔계,해수욕장1길 55 (일산동)
본죽(명덕현대점),"방어진순환도로 917, 2동 9호 (서부동)"
동해반점,"옥류2길 12 (서부동,지상1층)"
노랑통닭(남목점),"명덕5길 14 (서부동,지상2층)"
동행,"동해안로 545 (주전동,가동,나동(지상1층))"
학교앞분식,"남목13길 22, 아성오우션맨션 상가동 2층 2-2호 (동부동)"
영천한우마을,방어진순환도로 512 (방어동)
홍언니콩나물국밥,꽃바위로 204 (방어동)
고집센 그집 갈비탕,미포4길 18 (동부동)
블랑,"전하로 23, 2층 (전하동)"
색종이,"양지1길 46 (화정동,(1층))"
콘서트,"해수욕장10길 18 (일산동,(4층))"
씨월드장어나라,해수욕장6길 19 (일산동)
시장 회 타운,진성14길 53 (전하동)
단골식당,
보리꽃,해수욕장10길 74 (일산동)
원조태화국밥,녹수6길 12 (전하동)
한계령 큰양푼이 동태찌게,대송9길 13 (화정동)
치르치르전하점,"봉수로 지하 250, 302동 3층 110호 (전하동, 660-1 전하푸르지오상가)"
분식나라,남목16길 4-1 (동부동)
홍쓰덮밥 남목점,"미포1길 50 (동부동,(1층))"
동해복집,방어진순환도로 673 (일산동)
퇴근길포차,꽃바위로 258-1 (방어동)
밀물 나그네식당,바드래4길 1 (전하동)
해와달,"미포4길 9 (동부동,(1층))"
진도분식,"화정8길 10, 1층 (화정동)"
산내암소마을,"해수욕장2길 13 (일산동, 957-9)"
울산족발식당,"남목17길 9 (동부동,(1층))"
해정 왕 뽈찜,"화정4길 76 (화정동, 637-5)"
옛날통닭,"대송9길 6 (화정동,1층)"
숙성의미껍데기 울산서부점,"명덕3길 8 (서부동,지상1층)"
등촌장족발,"꽃바위로 262 (방어동,지상1층)"
세바퀴,"화문로 67-1 (방어동,지상1층)"
간이역,옥류로 51-1 (동부동)
아리아 영계백숙 왕갈비탕,"일산진5길 25 (일산동,(1층))"
푸짐한 조개구이,"해수욕장길 28 (일산동,(1층))"
고향 소머리 곰탕,북진6길 46 (방어동)
엄지횟집,물목길 7 (주전동)
제니스,"중진길 6 (방어동,지상1층)"
명륜진사갈비 일산점,"해수욕장3길 5 (일산동,(1층))"
월봉 소머리 국밥,"화정5길 10 (화정동,지상1층)"
원조골목식당,"번덕1길 12-7 (일산동,(1층))"
조방돼지국밥,"내진길 26, 1층 (방어동, 나래골든맨션)"
치킨신드롬,"화잠로 114 (방어동,지상 1층)"
만남조개구이,"해수욕장길 28 (일산동,(1층))"
삼시세끼,"문재3길 36 (방어동,206호)"
팔도 낙지촌,"등대로 1 (화정동,지상 1층)"
밥상차려놓았어요,"동진4길 48-8 (방어동,지상 1층)"
주전초장,"주전해안길 75 (주전동, 94-12 지상2층)"
롱산술집(일산점),"대학길 155 (일산동,(1층))"
우와장창,"대학길 134 (화정동,지상1층)"
불로만 숯불바베큐,꽃바위로 246-1 (방어동)
육삼생고기구이,"봉수로 314 (전하동,전하황금시장형상가 A동 103호)"
어람횟집,방어진순환도로 947 (서부동)
당사회센타초장집 남목점,"미포5길 29 (동부동,(1층))"
향미초장,"일산진11길 150, 지상2층 (일산동)"
대왕초장,"일산진11길 150, 지상2층 (일산동)"
신(辛)가네,"대송7길 51 (화정동,지상1층)"
꼭지초장,"일산진11길 150, 지상2층 (일산동)"
온산초장,"일산진11길 150, 지상2층 (일산동)"
강원초장,일산진11길 150 (일산동)
자매네 전집,"문재5길 19 (방어동,지상 1층)"
아름다운사람들,"번덕8길 21 (일산동,(1층))"
정담 갈비탕,"대송7길 12 (화정동,지상 1층)"
금상첨화,"해수욕장10길 22 (일산동, 960-2(1층))"
월곡 손칼국수,
성경막창,"대송9길 16 (화정동,지상 1층)"
이득통닭,
단밥,남진1길 6 (방어동)
정안정,"일산진6길 16 (일산동,(1층))"
울타리,"학문로 22-1 (일산동,(1층))"
맛집 뒷고기,"번덕2길 10 (일산동,(1층))"
할매네대구막창,"남진길 25 (방어동,지상 1층)"
신봉평메밀,"방어진순환도로 588 (화정동,지상1층)"
가마솥뚜껑 삼겹살,"문현로 95 (방어동,지상 1층)"
부산횟집,"녹수1길 5 (전하동,(1층))"
인생역전,"화진길 20 (방어동,지상 1층)"
옛살비 숯불갈비,"진성6길 30 (전하동,청심상가빌라 103호)"
크라운호프 전하점,"전하로 19 (전하동,(1층))"
시골집주막,"대송로 82 (화정동,지상1층)"
보리네 생고깃간,"보성길 22 (일산동,지상1층)"
연남물갈비(방어동점),"남진길 31 (방어동,1층)"
내고향 추어탕,"동해안로 39 (동부동,지상 1층)"
배터지는생동까스(방어점),"문현로 69-1 (방어동,지상 1층)"
손가동태,"남진길 54 (방어동,지상 1층)"
그때그자리,"남진길 28 (방어동,지상 1층)"
옛날통닭,"진성14길 62 (전하동,(1층))"
돈치킨전하점,"진성5길 8 (전하동,(1층))"
파닭에 파무쳐,"문재6길 8 (방어동,지상 1층)"
CMF 치킨,"문현6길 24 (방어동,지상 1층)"
플레이 그라운드(Play Ground),"해수욕장길 9 (일산동,지상2층)"
영동식당,"진성4길 5 (전하동,(1층))"
경북민물식당,"진성3길 14 (전하동,해븐 하늘빛 105호)"
본가 김해 뒷고기,"번덕8길 120 (일산동,지상1층)"
아는가게,"남진1길 29 (방어동,지상 1층)"
오리본가,"남진길 36 (방어동,지상 1층)"
솔마루,동해안로 620 (주전동)
시골숯불치킨,"진성9길 55, 1층 (전하동)"
철이네밥상,"옥류로 46-1 (동부동,지상 1층)"
꿈에본닭,"내진길 13 (방어동,지상 1층)"
대왕면사랑,"해수욕장7길 12, C동 1층 (일산동)"
길항,"화잠로 129 (방어동,지상 1층)"
바다속친구,"일산진6길 25 (일산동,지상1층)"
포차1번지,"미포1길 15 (동부동, 194-25(지상1층))"
라구나,"꽃바위로 216 (방어동,지상 1층)"
강원식육식당,"녹수7길 41-1, 103호 (전하동)"
명품횟집,"남진길 63 (방어동,지상 1층)"
300번지식당,"바드래2길 12 (전하동,(1층))"
팔곡밀면 울산일산점,"해수욕장길 27 (일산동, 955-4(지상1층))"
자갈치 산곰장어,미포2길 12 (동부동)
영주식당,"명덕2길 9 (서부동, 181-56)"
7번가피자 울산동구점,"학문로 21-2 (일산동,지상1층)"
꽃찬찜닭 울산동구점,남목20길 32 (동부동)
싱싱한 조개구이,"해수욕장10길 60 (일산동,외1필지(2층))"
장터국밥,"문재7길 23 (방어동, 1136-4(102호))"
일산분식,"진성12길 20, 지상1층 (일산동)"
친구집,"문현로 23 (방어동,지상 1층)"
경성주막,"명덕6길 11 (서부동,지하1층)"
명륜진사갈비(울산주전점),동해안로 568 (주전동)
대포,명덕1길 7 (서부동)
교촌치킨 화정점,"대학길 177 (일산동,지상1층)"
청춘불고기,"미포3길 7 (동부동, 201-157(지상1층))"
해바라기,"남진길 40, 지상1층 (방어동, 1145-44)"
항아리홍어돼지국밥,"미포5길 2, 지상1층 (동부동)"
참치랑 연어랑,"방어진순환도로 652, A동 3층 305호 (일산동)"
삼교리 동치미 막국수,"동해안로 607 (주전동,지상1층)"
탐나는 도야지,"전하로 5 (전하동,지상1층)"
속초네어장 남목점,옥류로 14 (동부동)
